Keywords,O,20141001-20141006,20141006-20141012,20141012-20141018,20141018-20141024,20141024-20141030,20141030-20141106,20141106-20141112,20141112-20141118,20141118-20141124
Tire Pressure Monitoring++,24000000,00,00,00,00,00,00,00,00,00,
Smartwatch++,39600000,00,00,00,00,00,00,00,00,00,
Stolen Vehicle Tracking++,1300000,00,00,00,00,00,00,00,00,00,
Eye-tracking VR headset++,375000,00,00,00,00,00,00,00,00,00,
Heart Rate Monitor Headset++,1260000,00,00,00,00,00,00,00,00,00,
Car++Night Vision,29000000,00,00,00,00,00,00,00,00,00,
Remote++Vehicle Diagnostics,1690000,00,00,00,00,00,00,00,00,00,
Wearables++Remote Patient Monitoring,414000,00,00,00,00,00,00,00,00,00,
Wearables++Telehealth,124000,00,00,00,00,00,00,00,00,00,
Car++Over The Air Update,679000000,00,00,00,00,00,00,00,00,00,
Wearables++Connected Care,491000,00,00,00,00,00,00,00,00,00,
Car++Emergency Tow Assist,24300000,00,00,00,00,00,00,00,00,00,
